idade,genero,pais,nivel_educacional,anos_programando,cargo_atual,anos_usando_ml,salario_anual_usd,linguagens_usadas,bancos_de_dados_usados,ferramentas_bi_usadas
30-34,Woman,Pakistan,Professional doctorate,5-10 years,Data Scientist,Other,,,,
35-39,Woman,Nigeria,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Non-profit/Service,$0-999,Python;R;SQL,,
25-29,Woman,Germany,Bachelor’s degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,$0-999,Python;SQL,,
30-34,Woman,Tunisia,Master’s degree,< 1 years,Data Scientist,Academics/Education,$0-999,Python,,
45-49,Woman,Egypt,Doctoral degree,10-20 years,Data Administrator,Computers/Technology,"10,000-14,999",Python;SQL,PostgreSQL;SQLite;Oracle Database;Snowflake,Qlik Sense
40-44,Woman,United States of America,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,$0-999,,,
22-24,Woman,Other,Master’s degree,3-5 years,Data Scientist,Online Service/Internet-based Services,,Python;SQL;Bash,,
22-24,Woman,Egypt,Bachelor’s degree,< 1 years,Data Scientist,Computers/Technology,$0-999,Python;SQL;C#,,
30-34,Woman,Turkey,Master’s degree,5-10 years,Data Engineer,Accounting/Finance,"15,000-19,999",Python;SQL;Bash,MySQL;PostgreSQL;SQLite;Oracle Database;MongoDB;Snowflake,Microsoft Power BI
30-34,Woman,India,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,"2,000-2,999",Python,,
35-39,Woman,Brazil,Doctoral degree,10-20 years,Data Scientist,Medical/Pharmaceutical,"40,000-49,999",Python,MongoDB,
40-44,Woman,United States of America,Bachelor’s degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"80,000-89,999",Python;SQL,,
18-21,Woman,India,Master’s degree,1-3 years,Data Scientist,Computers/Technology,"25,000-29,999",Python,,
